finance_measure,formula,result
BE-FOUNDATION & RG - ADA,5932.54 / 81 = ,73.24
BE-FOUNDATION & RG - Total Funds,,5932.54
BE-NEW - No of New Fundraisers (previous campaign),,679
BE-NEW - No of Active Fundraisers,,150
BE-NEW - APAM (Active),150 / 17021.91 = ,113.48
BE-NEW - Total Funds,,17021.91
BE-NEW - Active Ratio,150 / 679 = ,0.2209
BE-RETAINED - No of Fundraisers (previous campaign),,1186
BE-RETAINED - Total Retained from Previous into Current,,192
BE-RETAINED - No of Active Fundraisers,,96
BE-RETAINED - APAM (Active),24559.75 / 96 = ,255.83
BE-RETAINED - Total Funds,,24559.75
BE-RETAINED - Retained Ratio,192 / 1186 = ,0.1619
BE-RETAINED - Active Ratio,96 / 192 = ,0.5
BE-RETAINED - Total No of Fundraisers (current campaign),,992
BE-RETURNING - No of Returning Frs before previous campaign,,121
BE-RETURNING - No of Active Fundraisers,,42
BE-RETURNING - APAM (Active),6728.76 / 42 = ,160.21
BE-RETURNING - Total Funds,,6728.76
BE-RETURNING - Active Ratio,42 / 121 = ,0.3471
BE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,992
BE-TOTAL INDIVIDUALS - Total Active Fundraisers,,288
BE-TOTAL INDIVIDUALS - Total Funds Raised,,48310.42
BE-TEAM - No of Teams,,60
BE-TEAM - ATDD,14093.33 / 60 = ,234.89
BE-TEAM - Total Funds,,14093.33
BE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,992
BE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,288
BE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,60
BE-TOTAL PEER 2 PEER - Total Number of Active Entities,,348
BE-TOTAL PEER 2 PEER - Total Funds Raised,,68336.29
CZ-FOUNDATION & RG - No of Donations,,425
CZ-FOUNDATION & RG - ADA,240704.0 / 425 = ,566.36
CZ-FOUNDATION & RG - Total Funds,,240704.0
CZ-NEW - No of New Fundraisers (previous campaign),,1762
CZ-NEW - No of Active Fundraisers,,255
CZ-NEW - APAM (Active),255 / 309565.38 = ,1213.98
CZ-NEW - Total Funds,,309565.38
CZ-NEW - Active Ratio,255 / 1762 = ,0.1447
CZ-RETAINED - No of Fundraisers (previous campaign),,3861
CZ-RETAINED - Total Retained from Previous into Current,,1151
CZ-RETAINED - No of Active Fundraisers,,391
CZ-RETAINED - APAM (Active),1133515.97 / 391 = ,2899.02
CZ-RETAINED - Total Funds,,1133515.97
CZ-RETAINED - Retained Ratio,1151 / 3861 = ,0.2981
CZ-RETAINED - Active Ratio,391 / 1151 = ,0.3397
CZ-RETAINED - Total No of Fundraisers (current campaign),,3450
CZ-RETURNING - No of Returning Frs before previous campaign,,537
CZ-RETURNING - No of Active Fundraisers,,108
CZ-RETURNING - APAM (Active),217183.98 / 108 = ,2010.96
CZ-RETURNING - Total Funds,,217183.98
CZ-RETURNING - Active Ratio,108 / 537 = ,0.2011
CZ-TOTAL INDIVIDUALS - Total Number of Fundraisers,,3450
CZ-TOTAL INDIVIDUALS - Total Active Fundraisers,,754
CZ-TOTAL INDIVIDUALS - Total Funds Raised,,1660265.33
CZ-TEAM - No of Teams,,231
CZ-TEAM - ATDD,2346244.24 / 231 = ,10156.9
CZ-TEAM - Total Funds,,2346244.24
CZ-TOTAL PEER 2 PEER - Total Number of Fundraisers,,3450
CZ-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,754
CZ-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,231
CZ-TOTAL PEER 2 PEER - Total Number of Active Entities,,985
CZ-TOTAL PEER 2 PEER - Total Funds Raised,,4247213.57
DK-FOUNDATION & RG - No of Donations,,60
DK-FOUNDATION & RG - ADA,54974.0 / 60 = ,916.23
DK-FOUNDATION & RG - Total Funds,,54974.0
DK-NEW - No of New Fundraisers (previous campaign),,510
DK-NEW - No of Active Fundraisers,,75
DK-NEW - APAM (Active),75 / 31815.82 = ,424.21
DK-NEW - Total Funds,,31815.82
DK-NEW - Active Ratio,75 / 510 = ,0.1471
DK-RETAINED - No of Fundraisers (previous campaign),,930
DK-RETAINED - Total Retained from Previous into Current,,90
DK-RETAINED - No of Active Fundraisers,,51
DK-RETAINED - APAM (Active),126291.33 / 51 = ,2476.3
DK-RETAINED - Total Funds,,126291.33
DK-RETAINED - Retained Ratio,90 / 930 = ,0.0968
DK-RETAINED - Active Ratio,51 / 90 = ,0.5667
DK-RETAINED - Total No of Fundraisers (current campaign),,768
DK-RETURNING - No of Returning Frs before previous campaign,,168
DK-RETURNING - No of Active Fundraisers,,35
DK-RETURNING - APAM (Active),32973.0 / 35 = ,942.09
DK-RETURNING - Total Funds,,32973.0
DK-RETURNING - Active Ratio,35 / 168 = ,0.2083
DK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,768
DK-TOTAL INDIVIDUALS - Total Active Fundraisers,,161
DK-TOTAL INDIVIDUALS - Total Funds Raised,,191080.15
DK-TEAM - No of Teams,,48
DK-TEAM - ATDD,88967.0 / 48 = ,1853.48
DK-TEAM - Total Funds,,88967.0
DK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,768
DK-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,161
DK-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,48
DK-TOTAL PEER 2 PEER - Total Number of Active Entities,,209
DK-TOTAL PEER 2 PEER - Total Funds Raised,,335021.15
FI-FOUNDATION & RG - No of Donations,,0
FI-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
FI-FOUNDATION & RG - Total Funds,,0.0
FI-NEW - No of New Fundraisers (previous campaign),,0
FI-NEW - No of Active Fundraisers,,0
FI-NEW - APAM (Active),0 / 0.0 = ,0.0
FI-NEW - Total Funds,,0.0
FI-NEW - Active Ratio,0 / 0 = ,0.0
FI-RETAINED - No of Fundraisers (previous campaign),,20
FI-RETAINED - Total Retained from Previous into Current,,1
FI-RETAINED - No of Active Fundraisers,,0
FI-RETAINED - APAM (Active),0.0 / 0 = ,0.0
FI-RETAINED - Total Funds,,0.0
FI-RETAINED - Retained Ratio,1 / 20 = ,0.05
FI-RETAINED - Active Ratio,0 / 1 = ,0.0
FI-RETAINED - Total No of Fundraisers (current campaign),,25
FI-RETURNING - No of Returning Frs before previous campaign,,24
FI-RETURNING - No of Active Fundraisers,,0
FI-RETURNING - APAM (Active),0.0 / 0 = ,0.0
FI-RETURNING - Total Funds,,0.0
FI-RETURNING - Active Ratio,0 / 24 = ,0.0
FI-TOTAL INDIVIDUALS - Total Number of Fundraisers,,25
FI-TOTAL INDIVIDUALS - Total Active Fundraisers,,0
FI-TOTAL INDIVIDUALS - Total Funds Raised,,0.0
FI-TEAM - No of Teams,,0
FI-TEAM - ATDD,0.0 / 0 = ,0.0
FI-TEAM - Total Funds,,0.0
FI-TOTAL PEER 2 PEER - Total Number of Fundraisers,,25
FI-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,0
FI-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,0
FI-TOTAL PEER 2 PEER - Total Number of Active Entities,,0
FI-TOTAL PEER 2 PEER - Total Funds Raised,,0.0
FR-FOUNDATION & RG - No of Donations,,1034
FR-FOUNDATION & RG - ADA,101358.37 / 1034 = ,98.03
FR-FOUNDATION & RG - Total Funds,,101358.37
FR-NEW - No of New Fundraisers (previous campaign),,7979
FR-NEW - No of Active Fundraisers,,790
FR-NEW - APAM (Active),790 / 55541.59 = ,70.31
FR-NEW - Total Funds,,55541.59
FR-NEW - Active Ratio,790 / 7979 = ,0.099
FR-RETAINED - No of Fundraisers (previous campaign),,8155
FR-RETAINED - Total Retained from Previous into Current,,1564
FR-RETAINED - No of Active Fundraisers,,492
FR-RETAINED - APAM (Active),106041.09 / 492 = ,215.53
FR-RETAINED - Total Funds,,106041.09
FR-RETAINED - Retained Ratio,1564 / 8155 = ,0.1918
FR-RETAINED - Active Ratio,492 / 1564 = ,0.3146
FR-RETAINED - Total No of Fundraisers (current campaign),,10754
FR-RETURNING - No of Returning Frs before previous campaign,,1211
FR-RETURNING - No of Active Fundraisers,,201
FR-RETURNING - APAM (Active),16952.93 / 201 = ,84.34
FR-RETURNING - Total Funds,,16952.93
FR-RETURNING - Active Ratio,201 / 1211 = ,0.166
FR-TOTAL INDIVIDUALS - Total Number of Fundraisers,,10754
FR-TOTAL INDIVIDUALS - Total Active Fundraisers,,1483
FR-TOTAL INDIVIDUALS - Total Funds Raised,,178535.61
FR-TEAM - No of Teams,,368
FR-TEAM - ATDD,146004.55 / 368 = ,396.75
FR-TEAM - Total Funds,,146004.55
FR-TOTAL PEER 2 PEER - Total Number of Fundraisers,,10754
FR-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1483
FR-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,368
FR-TOTAL PEER 2 PEER - Total Number of Active Entities,,1851
FR-TOTAL PEER 2 PEER - Total Funds Raised,,425898.53
DE-FOUNDATION & RG - No of Donations,,1341
DE-FOUNDATION & RG - ADA,55669.87 / 1341 = ,41.51
DE-FOUNDATION & RG - Total Funds,,55669.87
DE-NEW - No of New Fundraisers (previous campaign),,5229
DE-NEW - No of Active Fundraisers,,1350
DE-NEW - APAM (Active),1350 / 114297.41 = ,84.66
DE-NEW - Total Funds,,114297.41
DE-NEW - Active Ratio,1350 / 5229 = ,0.2582
DE-RETAINED - No of Fundraisers (previous campaign),,6159
DE-RETAINED - Total Retained from Previous into Current,,1501
DE-RETAINED - No of Active Fundraisers,,696
DE-RETAINED - APAM (Active),154952.45 / 696 = ,222.63
DE-RETAINED - Total Funds,,154952.45
DE-RETAINED - Retained Ratio,1501 / 6159 = ,0.2437
DE-RETAINED - Active Ratio,696 / 1501 = ,0.4637
DE-RETAINED - Total No of Fundraisers (current campaign),,7412
DE-RETURNING - No of Returning Frs before previous campaign,,682
DE-RETURNING - No of Active Fundraisers,,187
DE-RETURNING - APAM (Active),26043.73 / 187 = ,139.27
DE-RETURNING - Total Funds,,26043.73
DE-RETURNING - Active Ratio,187 / 682 = ,0.2742
DE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,7412
DE-TOTAL INDIVIDUALS - Total Active Fundraisers,,2233
DE-TOTAL INDIVIDUALS - Total Funds Raised,,295293.59
DE-TEAM - No of Teams,,525
DE-TEAM - ATDD,238101.87 / 525 = ,453.53
DE-TEAM - Total Funds,,238101.87
DE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,7412
DE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,2233
DE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,525
DE-TOTAL PEER 2 PEER - Total Number of Active Entities,,2758
DE-TOTAL PEER 2 PEER - Total Funds Raised,,589065.33
IT-FOUNDATION & RG - No of Donations,,0
IT-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
IT-FOUNDATION & RG - Total Funds,,0.0
IT-NEW - No of New Fundraisers (previous campaign),,0
IT-NEW - No of Active Fundraisers,,0
IT-NEW - APAM (Active),0 / 0.0 = ,0.0
IT-NEW - Total Funds,,0.0
IT-NEW - Active Ratio,0 / 0 = ,0.0
IT-RETAINED - No of Fundraisers (previous campaign),,0
IT-RETAINED - Total Retained from Previous into Current,,0
IT-RETAINED - No of Active Fundraisers,,0
IT-RETAINED - APAM (Active),0.0 / 0 = ,0.0
IT-RETAINED - Total Funds,,0.0
IT-RETAINED - Retained Ratio,0 / 0 = ,0.0
IT-RETAINED - Active Ratio,0 / 0 = ,0.0
IT-RETAINED - Total No of Fundraisers (current campaign),,0
IT-RETURNING - No of Returning Frs before previous campaign,,0
IT-RETURNING - No of Active Fundraisers,,0
IT-RETURNING - APAM (Active),0.0 / 0 = ,0.0
IT-RETURNING - Total Funds,,0.0
IT-RETURNING - Active Ratio,0 / 0 = ,0.0
IT-TOTAL INDIVIDUALS - Total Number of Fundraisers,,0
IT-TOTAL INDIVIDUALS - Total Active Fundraisers,,0
IT-TOTAL INDIVIDUALS - Total Funds Raised,,0.0
IT-TEAM - No of Teams,,0
IT-TEAM - ATDD,0.0 / 0 = ,0.0
IT-TEAM - Total Funds,,0.0
IT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,0
IT-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,0
IT-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,0
IT-TOTAL PEER 2 PEER - Total Number of Active Entities,,0
IT-TOTAL PEER 2 PEER - Total Funds Raised,,0.0
NL-FOUNDATION & RG - No of Donations,,346
NL-FOUNDATION & RG - ADA,27622.45 / 346 = ,79.83
NL-FOUNDATION & RG - Total Funds,,27622.45
NL-NEW - No of New Fundraisers (previous campaign),,1894
NL-NEW - No of Active Fundraisers,,759
NL-NEW - APAM (Active),759 / 108881.26 = ,143.45
NL-NEW - Total Funds,,108881.26
NL-NEW - Active Ratio,759 / 1894 = ,0.4007
NL-RETAINED - No of Fundraisers (previous campaign),,2057
NL-RETAINED - Total Retained from Previous into Current,,376
NL-RETAINED - No of Active Fundraisers,,213
NL-RETAINED - APAM (Active),60937.18 / 213 = ,286.09
NL-RETAINED - Total Funds,,60937.18
NL-RETAINED - Retained Ratio,376 / 2057 = ,0.1828
NL-RETAINED - Active Ratio,213 / 376 = ,0.5665
NL-RETAINED - Total No of Fundraisers (current campaign),,2544
NL-RETURNING - No of Returning Frs before previous campaign,,274
NL-RETURNING - No of Active Fundraisers,,113
NL-RETURNING - APAM (Active),20892.21 / 113 = ,184.89
NL-RETURNING - Total Funds,,20892.21
NL-RETURNING - Active Ratio,113 / 274 = ,0.4124
NL-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2544
NL-TOTAL INDIVIDUALS - Total Active Fundraisers,,1085
NL-TOTAL INDIVIDUALS - Total Funds Raised,,190710.65
NL-TEAM - No of Teams,,187
NL-TEAM - ATDD,70549.92 / 187 = ,377.27
NL-TEAM - Total Funds,,70549.92
NL-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2544
NL-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1085
NL-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,187
NL-TOTAL PEER 2 PEER - Total Number of Active Entities,,1272
NL-TOTAL PEER 2 PEER - Total Funds Raised,,288883.02
NO-FOUNDATION & RG - No of Donations,,179
NO-FOUNDATION & RG - ADA,134363.7 / 179 = ,750.64
NO-FOUNDATION & RG - Total Funds,,134363.7
NO-NEW - No of New Fundraisers (previous campaign),,1228
NO-NEW - No of Active Fundraisers,,308
NO-NEW - APAM (Active),308 / 394660.05 = ,1281.36
NO-NEW - Total Funds,,394660.05
NO-NEW - Active Ratio,308 / 1228 = ,0.2508
NO-RETAINED - No of Fundraisers (previous campaign),,2210
NO-RETAINED - Total Retained from Previous into Current,,396
NO-RETAINED - No of Active Fundraisers,,202
NO-RETAINED - APAM (Active),679602.17 / 202 = ,3364.37
