finance_measure,formula,result
US-TEAM - ATDD,2459265.07 / 2890 = ,850.96
US-TEAM - Total Funds,,2459265.07
US-TOTAL PEER 2 PEER - Total Number of Fundraisers,,55056
US-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,19820
US-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,2890
US-TOTAL PEER 2 PEER - Total Number of Active Entities,,22710
US-TOTAL PEER 2 PEER - Total Funds Raised,,12573501.63
IE-FOUNDATION & RG - No of Donations,,1431
IE-FOUNDATION & RG - ADA,322196.11 / 1431 = ,225.15
IE-FOUNDATION & RG - Total Funds,,322196.11
IE-NEW - No of New Fundraisers (previous campaign),,16532
IE-NEW - No of Active Fundraisers,,9842
IE-NEW - APAM (Active),9842 / 3095392.79 = ,314.51
IE-NEW - Total Funds,,3095392.79
IE-NEW - Active Ratio,9842 / 16532 = ,0.5953
IE-RETAINED - No of Fundraisers (previous campaign),,10561
IE-RETAINED - Total Retained from Previous into Current,,2275
IE-RETAINED - No of Active Fundraisers,,1573
IE-RETAINED - APAM (Active),556842.91 / 1573 = ,354.0
IE-RETAINED - Total Funds,,556842.91
IE-RETAINED - Retained Ratio,2275 / 10561 = ,0.2154
IE-RETAINED - Active Ratio,1573 / 2275 = ,0.6914
IE-RETAINED - Total No of Fundraisers (current campaign),,20084
IE-RETURNING - No of Returning Frs before previous campaign,,1277
IE-RETURNING - No of Active Fundraisers,,824
IE-RETURNING - APAM (Active),315319.26 / 824 = ,382.67
IE-RETURNING - Total Funds,,315319.26
IE-RETURNING - Active Ratio,824 / 1277 = ,0.6453
IE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,20084
IE-TOTAL INDIVIDUALS - Total Active Fundraisers,,12239
IE-TOTAL INDIVIDUALS - Total Funds Raised,,3967554.96
IE-TEAM - No of Teams,,1284
IE-TEAM - ATDD,643942.95 / 1284 = ,501.51
IE-TEAM - Total Funds,,643942.95
IE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,20084
IE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,12239
IE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,1284
IE-TOTAL PEER 2 PEER - Total Number of Active Entities,,13523
IE-TOTAL PEER 2 PEER - Total Funds Raised,,4933694.02
NZ-FOUNDATION & RG - No of Donations,,734
NZ-FOUNDATION & RG - ADA,85280.46 / 734 = ,116.19
NZ-FOUNDATION & RG - Total Funds,,85280.46
NZ-NEW - No of New Fundraisers (previous campaign),,7696
NZ-NEW - No of Active Fundraisers,,3904
NZ-NEW - APAM (Active),3904 / 1030258.75 = ,263.9
NZ-NEW - Total Funds,,1030258.75
NZ-NEW - Active Ratio,3904 / 7696 = ,0.5073
NZ-RETAINED - No of Fundraisers (previous campaign),,12863
NZ-RETAINED - Total Retained from Previous into Current,,2185
NZ-RETAINED - No of Active Fundraisers,,1367
NZ-RETAINED - APAM (Active),491517.27 / 1367 = ,359.56
NZ-RETAINED - Total Funds,,491517.27
NZ-RETAINED - Retained Ratio,2185 / 12863 = ,0.1699
NZ-RETAINED - Active Ratio,1367 / 2185 = ,0.6256
NZ-RETAINED - Total No of Fundraisers (current campaign),,11028
NZ-RETURNING - No of Returning Frs before previous campaign,,1147
NZ-RETURNING - No of Active Fundraisers,,642
NZ-RETURNING - APAM (Active),224300.09 / 642 = ,349.38
NZ-RETURNING - Total Funds,,224300.09
NZ-RETURNING - Active Ratio,642 / 1147 = ,0.5597
NZ-TOTAL INDIVIDUALS - Total Number of Fundraisers,,11028
NZ-TOTAL INDIVIDUALS - Total Active Fundraisers,,5913
NZ-TOTAL INDIVIDUALS - Total Funds Raised,,1746076.11
NZ-TEAM - No of Teams,,738
NZ-TEAM - ATDD,366031.87 / 738 = ,495.98
NZ-TEAM - Total Funds,,366031.87
NZ-TOTAL PEER 2 PEER - Total Number of Fundraisers,,11028
NZ-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,5913
NZ-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,738
NZ-TOTAL PEER 2 PEER - Total Number of Active Entities,,6651
NZ-TOTAL PEER 2 PEER - Total Funds Raised,,2197388.44
AT-FOUNDATION & RG - No of Donations,,252
AT-FOUNDATION & RG - ADA,16033.47 / 252 = ,63.62
AT-FOUNDATION & RG - Total Funds,,16033.47
AT-NEW - No of New Fundraisers (previous campaign),,656
AT-NEW - No of Active Fundraisers,,131
AT-NEW - APAM (Active),131 / 11228.44 = ,85.71
AT-NEW - Total Funds,,11228.44
AT-NEW - Active Ratio,131 / 656 = ,0.1997
AT-RETAINED - No of Fundraisers (previous campaign),,1030
AT-RETAINED - Total Retained from Previous into Current,,253
AT-RETAINED - No of Active Fundraisers,,76
AT-RETAINED - APAM (Active),10678.65 / 76 = ,140.51
AT-RETAINED - Total Funds,,10678.65
AT-RETAINED - Retained Ratio,253 / 1030 = ,0.2456
AT-RETAINED - Active Ratio,76 / 253 = ,0.3004
AT-RETAINED - Total No of Fundraisers (current campaign),,1051
AT-RETURNING - No of Returning Frs before previous campaign,,142
AT-RETURNING - No of Active Fundraisers,,42
AT-RETURNING - APAM (Active),4365.1 / 42 = ,103.93
AT-RETURNING - Total Funds,,4365.1
AT-RETURNING - Active Ratio,42 / 142 = ,0.2958
AT-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1051
AT-TOTAL INDIVIDUALS - Total Active Fundraisers,,249
AT-TOTAL INDIVIDUALS - Total Funds Raised,,26272.19
AT-TEAM - No of Teams,,68
AT-TEAM - ATDD,18255.3 / 68 = ,268.46
AT-TEAM - Total Funds,,18255.3
AT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1051
AT-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,249
AT-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,68
AT-TOTAL PEER 2 PEER - Total Number of Active Entities,,317
AT-TOTAL PEER 2 PEER - Total Funds Raised,,60560.96
BE-FOUNDATION & RG - No of Donations,,74
BE-FOUNDATION & RG - ADA,24495.46 / 74 = ,331.02
BE-FOUNDATION & RG - Total Funds,,24495.46
BE-NEW - No of New Fundraisers (previous campaign),,566
BE-NEW - No of Active Fundraisers,,149
BE-NEW - APAM (Active),149 / 26402.46 = ,177.2
BE-NEW - Total Funds,,26402.46
BE-NEW - Active Ratio,149 / 566 = ,0.2633
BE-RETAINED - No of Fundraisers (previous campaign),,992
BE-RETAINED - Total Retained from Previous into Current,,169
BE-RETAINED - No of Active Fundraisers,,67
BE-RETAINED - APAM (Active),18781.95 / 67 = ,280.33
BE-RETAINED - Total Funds,,18781.95
BE-RETAINED - Retained Ratio,169 / 992 = ,0.1704
BE-RETAINED - Active Ratio,67 / 169 = ,0.3964
BE-RETAINED - Total No of Fundraisers (current campaign),,875
BE-RETURNING - No of Returning Frs before previous campaign,,140
BE-RETURNING - No of Active Fundraisers,,44
BE-RETURNING - APAM (Active),5034.04 / 44 = ,114.41
BE-RETURNING - Total Funds,,5034.04
BE-RETURNING - Active Ratio,44 / 140 = ,0.3143
BE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,875
BE-TOTAL INDIVIDUALS - Total Active Fundraisers,,260
BE-TOTAL INDIVIDUALS - Total Funds Raised,,50218.45
BE-TEAM - No of Teams,,31
BE-TEAM - ATDD,10879.77 / 31 = ,350.96
BE-TEAM - Total Funds,,10879.77
BE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,875
BE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,260
BE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,31
BE-TOTAL PEER 2 PEER - Total Number of Active Entities,,291
BE-TOTAL PEER 2 PEER - Total Funds Raised,,85593.68
CZ-FOUNDATION & RG - No of Donations,,513
CZ-FOUNDATION & RG - ADA,255160.0 / 513 = ,497.39
CZ-FOUNDATION & RG - Total Funds,,255160.0
CZ-NEW - No of New Fundraisers (previous campaign),,1415
CZ-NEW - No of Active Fundraisers,,261
CZ-NEW - APAM (Active),261 / 383610.6 = ,1469.77
CZ-NEW - Total Funds,,383610.6
CZ-NEW - Active Ratio,261 / 1415 = ,0.1845
CZ-RETAINED - No of Fundraisers (previous campaign),,3450
CZ-RETAINED - Total Retained from Previous into Current,,978
CZ-RETAINED - No of Active Fundraisers,,352
CZ-RETAINED - APAM (Active),1093988.93 / 352 = ,3107.92
CZ-RETAINED - Total Funds,,1093988.93
CZ-RETAINED - Retained Ratio,978 / 3450 = ,0.2835
CZ-RETAINED - Active Ratio,352 / 978 = ,0.3599
CZ-RETAINED - Total No of Fundraisers (current campaign),,2883
CZ-RETURNING - No of Returning Frs before previous campaign,,490
CZ-RETURNING - No of Active Fundraisers,,104
CZ-RETURNING - APAM (Active),112076.62 / 104 = ,1077.66
CZ-RETURNING - Total Funds,,112076.62
CZ-RETURNING - Active Ratio,104 / 490 = ,0.2122
CZ-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2883
CZ-TOTAL INDIVIDUALS - Total Active Fundraisers,,717
CZ-TOTAL INDIVIDUALS - Total Funds Raised,,1589676.15
CZ-TEAM - No of Teams,,161
CZ-TEAM - ATDD,1698751.87 / 161 = ,10551.25
CZ-TEAM - Total Funds,,1698751.87
CZ-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2883
CZ-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,717
CZ-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,161
CZ-TOTAL PEER 2 PEER - Total Number of Active Entities,,878
CZ-TOTAL PEER 2 PEER - Total Funds Raised,,3543588.02
DK-FOUNDATION & RG - No of Donations,,63
DK-FOUNDATION & RG - ADA,16178.4 / 63 = ,256.8
DK-FOUNDATION & RG - Total Funds,,16178.4
DK-NEW - No of New Fundraisers (previous campaign),,621
DK-NEW - No of Active Fundraisers,,109
DK-NEW - APAM (Active),109 / 90068.0 = ,826.31
DK-NEW - Total Funds,,90068.0
DK-NEW - Active Ratio,109 / 621 = ,0.1755
DK-RETAINED - No of Fundraisers (previous campaign),,768
DK-RETAINED - Total Retained from Previous into Current,,91
DK-RETAINED - No of Active Fundraisers,,42
DK-RETAINED - APAM (Active),187341.8 / 42 = ,4460.52
DK-RETAINED - Total Funds,,187341.8
DK-RETAINED - Retained Ratio,91 / 768 = ,0.1185
DK-RETAINED - Active Ratio,42 / 91 = ,0.4615
DK-RETAINED - Total No of Fundraisers (current campaign),,831
DK-RETURNING - No of Returning Frs before previous campaign,,119
DK-RETURNING - No of Active Fundraisers,,36
DK-RETURNING - APAM (Active),28526.0 / 36 = ,792.39
DK-RETURNING - Total Funds,,28526.0
DK-RETURNING - Active Ratio,36 / 119 = ,0.3025
DK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,831
DK-TOTAL INDIVIDUALS - Total Active Fundraisers,,187
DK-TOTAL INDIVIDUALS - Total Funds Raised,,305935.8
DK-TEAM - No of Teams,,34
DK-TEAM - ATDD,95424.25 / 34 = ,2806.6
DK-TEAM - Total Funds,,95424.25
DK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,831
DK-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,187
DK-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,34
DK-TOTAL PEER 2 PEER - Total Number of Active Entities,,221
DK-TOTAL PEER 2 PEER - Total Funds Raised,,417538.45
FI-FOUNDATION & RG - No of Donations,,0
FI-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
FI-FOUNDATION & RG - Total Funds,,0.0
FI-NEW - No of New Fundraisers (previous campaign),,0
FI-NEW - No of Active Fundraisers,,0
FI-NEW - APAM (Active),0 / 0.0 = ,0.0
FI-NEW - Total Funds,,0.0
FI-NEW - Active Ratio,0 / 0 = ,0.0
FI-RETAINED - No of Fundraisers (previous campaign),,25
FI-RETAINED - Total Retained from Previous into Current,,1
FI-RETAINED - No of Active Fundraisers,,0
FI-RETAINED - APAM (Active),0.0 / 0 = ,0.0
FI-RETAINED - Total Funds,,0.0
FI-RETAINED - Retained Ratio,1 / 25 = ,0.04
FI-RETAINED - Active Ratio,0 / 1 = ,0.0
FI-RETAINED - Total No of Fundraisers (current campaign),,9
FI-RETURNING - No of Returning Frs before previous campaign,,8
FI-RETURNING - No of Active Fundraisers,,0
FI-RETURNING - APAM (Active),0.0 / 0 = ,0.0
FI-RETURNING - Total Funds,,0.0
FI-RETURNING - Active Ratio,0 / 8 = ,0.0
FI-TOTAL INDIVIDUALS - Total Number of Fundraisers,,9
FI-TOTAL INDIVIDUALS - Total Active Fundraisers,,0
FI-TOTAL INDIVIDUALS - Total Funds Raised,,0.0
FI-TEAM - No of Teams,,0
FI-TEAM - ATDD,0.0 / 0 = ,0.0
FI-TEAM - Total Funds,,0.0
FI-TOTAL PEER 2 PEER - Total Number of Fundraisers,,9
FI-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,0
FI-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,0
FI-TOTAL PEER 2 PEER - Total Number of Active Entities,,0
FI-TOTAL PEER 2 PEER - Total Funds Raised,,0.0
FR-FOUNDATION & RG - No of Donations,,1208
FR-FOUNDATION & RG - ADA,124421.59 / 1208 = ,103.0
FR-FOUNDATION & RG - Total Funds,,124421.59
FR-NEW - No of New Fundraisers (previous campaign),,6900
FR-NEW - No of Active Fundraisers,,774
FR-NEW - APAM (Active),774 / 73274.72 = ,94.67
FR-NEW - Total Funds,,73274.72
FR-NEW - Active Ratio,774 / 6900 = ,0.1122
FR-RETAINED - No of Fundraisers (previous campaign),,10754
FR-RETAINED - Total Retained from Previous into Current,,1523
FR-RETAINED - No of Active Fundraisers,,445
FR-RETAINED - APAM (Active),101465.34 / 445 = ,228.01
FR-RETAINED - Total Funds,,101465.34
FR-RETAINED - Retained Ratio,1523 / 10754 = ,0.1416
FR-RETAINED - Active Ratio,445 / 1523 = ,0.2922
FR-RETAINED - Total No of Fundraisers (current campaign),,9350
FR-RETURNING - No of Returning Frs before previous campaign,,927
FR-RETURNING - No of Active Fundraisers,,196
FR-RETURNING - APAM (Active),31811.53 / 196 = ,162.3
FR-RETURNING - Total Funds,,31811.53
FR-RETURNING - Active Ratio,196 / 927 = ,0.2114
FR-TOTAL INDIVIDUALS - Total Number of Fundraisers,,9350
FR-TOTAL INDIVIDUALS - Total Active Fundraisers,,1415
FR-TOTAL INDIVIDUALS - Total Funds Raised,,206551.59
FR-TEAM - No of Teams,,287
FR-TEAM - ATDD,80160.83 / 287 = ,279.31
FR-TEAM - Total Funds,,80160.83
FR-TOTAL PEER 2 PEER - Total Number of Fundraisers,,9350
FR-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1415
FR-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,287
FR-TOTAL PEER 2 PEER - Total Number of Active Entities,,1702
FR-TOTAL PEER 2 PEER - Total Funds Raised,,411134.01
DE-FOUNDATION & RG - No of Donations,,1378
DE-FOUNDATION & RG - ADA,105035.4 / 1378 = ,76.22
DE-FOUNDATION & RG - Total Funds,,105035.4
DE-NEW - No of New Fundraisers (previous campaign),,6836
DE-NEW - No of Active Fundraisers,,1866
DE-NEW - APAM (Active),1866 / 185874.07 = ,99.61
DE-NEW - Total Funds,,185874.07
DE-NEW - Active Ratio,1866 / 6836 = ,0.273
DE-RETAINED - No of Fundraisers (previous campaign),,7412
DE-RETAINED - Total Retained from Previous into Current,,1652
DE-RETAINED - No of Active Fundraisers,,759
DE-RETAINED - APAM (Active),204968.8 / 759 = ,270.05
DE-RETAINED - Total Funds,,204968.8
DE-RETAINED - Retained Ratio,1652 / 7412 = ,0.2229
DE-RETAINED - Active Ratio,759 / 1652 = ,0.4594
DE-RETAINED - Total No of Fundraisers (current campaign),,9260
DE-RETURNING - No of Returning Frs before previous campaign,,772
DE-RETURNING - No of Active Fundraisers,,260
DE-RETURNING - APAM (Active),39919.52 / 260 = ,153.54
DE-RETURNING - Total Funds,,39919.52
DE-RETURNING - Active Ratio,260 / 772 = ,0.3368
DE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,9260
DE-TOTAL INDIVIDUALS - Total Active Fundraisers,,2885
DE-TOTAL INDIVIDUALS - Total Funds Raised,,430762.39
DE-TEAM - No of Teams,,476
DE-TEAM - ATDD,179644.0 / 476 = ,377.4
DE-TEAM - Total Funds,,179644.0
DE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,9260
DE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,2885
DE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,476
DE-TOTAL PEER 2 PEER - Total Number of Active Entities,,3361
DE-TOTAL PEER 2 PEER - Total Funds Raised,,715441.79
IT-FOUNDATION & RG - No of Donations,,0
IT-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
IT-FOUNDATION & RG - Total Funds,,0.0
IT-NEW - No of New Fundraisers (previous campaign),,0
IT-NEW - No of Active Fundraisers,,0
IT-NEW - APAM (Active),0 / 0.0 = ,0.0
IT-NEW - Total Funds,,0.0
IT-NEW - Active Ratio,0 / 0 = ,0.0
IT-RETAINED - No of Fundraisers (previous campaign),,0
IT-RETAINED - Total Retained from Previous into Current,,0
IT-RETAINED - No of Active Fundraisers,,0
IT-RETAINED - APAM (Active),0.0 / 0 = ,0.0
IT-RETAINED - Total Funds,,0.0
IT-RETAINED - Retained Ratio,0 / 0 = ,0.0
IT-RETAINED - Active Ratio,0 / 0 = ,0.0
IT-RETAINED - Total No of Fundraisers (current campaign),,0
IT-RETURNING - No of Returning Frs before previous campaign,,0
IT-RETURNING - No of Active Fundraisers,,0
IT-RETURNING - APAM (Active),0.0 / 0 = ,0.0
IT-RETURNING - Total Funds,,0.0
IT-RETURNING - Active Ratio,0 / 0 = ,0.0
IT-TOTAL INDIVIDUALS - Total Number of Fundraisers,,0
IT-TOTAL INDIVIDUALS - Total Active Fundraisers,,0
IT-TOTAL INDIVIDUALS - Total Funds Raised,,0.0
IT-TEAM - No of Teams,,0
IT-TEAM - ATDD,0.0 / 0 = ,0.0
IT-TEAM - Total Funds,,0.0
IT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,0
IT-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,0
IT-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,0
IT-TOTAL PEER 2 PEER - Total Number of Active Entities,,0
IT-TOTAL PEER 2 PEER - Total Funds Raised,,0.0
NL-FOUNDATION & RG - No of Donations,,566
NL-FOUNDATION & RG - ADA,40882.55 / 566 = ,72.23
NL-FOUNDATION & RG - Total Funds,,40882.55
NL-NEW - No of New Fundraisers (previous campaign),,2094
NL-NEW - No of Active Fundraisers,,905
NL-NEW - APAM (Active),905 / 162498.27 = ,179.56
NL-NEW - Total Funds,,162498.27
NL-NEW - Active Ratio,905 / 2094 = ,0.4322
NL-RETAINED - No of Fundraisers (previous campaign),,2544
NL-RETAINED - Total Retained from Previous into Current,,415
NL-RETAINED - No of Active Fundraisers,,243
NL-RETAINED - APAM (Active),70444.31 / 243 = ,289.89
NL-RETAINED - Total Funds,,70444.31
NL-RETAINED - Retained Ratio,415 / 2544 = ,0.1631
NL-RETAINED - Active Ratio,243 / 415 = ,0.5855
NL-RETAINED - Total No of Fundraisers (current campaign),,2797
NL-RETURNING - No of Returning Frs before previous campaign,,288
NL-RETURNING - No of Active Fundraisers,,123
NL-RETURNING - APAM (Active),27515.77 / 123 = ,223.71
NL-RETURNING - Total Funds,,27515.77
NL-RETURNING - Active Ratio,123 / 288 = ,0.4271
NL-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2797
NL-TOTAL INDIVIDUALS - Total Active Fundraisers,,1271
NL-TOTAL INDIVIDUALS - Total Funds Raised,,260458.35
NL-TEAM - No of Teams,,154
NL-TEAM - ATDD,72457.43 / 154 = ,470.5
NL-TEAM - Total Funds,,72457.43
NL-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2797
NL-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1271
NL-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,154
NL-TOTAL PEER 2 PEER - Total Number of Active Entities,,1425
NL-TOTAL PEER 2 PEER - Total Funds Raised,,373798.33
NO-FOUNDATION & RG - No of Donations,,211
NO-FOUNDATION & RG - ADA,158677.23 / 211 = ,752.02
NO-FOUNDATION & RG - Total Funds,,158677.23
NO-NEW - No of New Fundraisers (previous campaign),,996
NO-NEW - No of Active Fundraisers,,225
NO-NEW - APAM (Active),225 / 237999.84 = ,1057.78
NO-NEW - Total Funds,,237999.84
NO-NEW - Active Ratio,225 / 996 = ,0.2259
NO-RETAINED - No of Fundraisers (previous campaign),,2061
NO-RETAINED - Total Retained from Previous into Current,,333
NO-RETAINED - No of Active Fundraisers,,170
NO-RETAINED - APAM (Active),612757.62 / 170 = ,3604.46
