finance_measure,formula,result
CA-TOTAL INDIVIDUALS - Total Number of Fundraisers,,56396
CA-TOTAL INDIVIDUALS - Total Active Fundraisers,,38910
CA-TOTAL INDIVIDUALS - Total Funds Raised,,14665367.42
CA-TEAM - No of Teams,,2596
CA-TEAM - ATDD,917333.99 / 2596 = ,353.36
CA-TEAM - Total Funds,,917333.99
CA-TOTAL PEER 2 PEER - Total Number of Fundraisers,,56396
CA-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,38910
CA-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,2596
CA-TOTAL PEER 2 PEER - Total Number of Active Entities,,41506
CA-TOTAL PEER 2 PEER - Total Funds Raised,,16463859.25
GB-FOUNDATION & RG - No of Donations,,6158
GB-FOUNDATION & RG - ADA,709375.73 / 6158 = ,115.2
GB-FOUNDATION & RG - Total Funds,,709375.73
GB-NEW - No of New Fundraisers (previous campaign),,40559
GB-NEW - No of Active Fundraisers,,24355
GB-NEW - APAM (Active),24355 / 3479629.94 = ,142.87
GB-NEW - Total Funds,,3479629.94
GB-NEW - Active Ratio,24355 / 40559 = ,0.6005
GB-RETAINED - No of Fundraisers (previous campaign),,51025
GB-RETAINED - Total Retained from Previous into Current,,8392
GB-RETAINED - No of Active Fundraisers,,6214
GB-RETAINED - APAM (Active),1254556.78 / 6214 = ,201.89
GB-RETAINED - Total Funds,,1254556.78
GB-RETAINED - Retained Ratio,8392 / 51025 = ,0.1645
GB-RETAINED - Active Ratio,6214 / 8392 = ,0.7405
GB-RETAINED - Total No of Fundraisers (current campaign),,56073
GB-RETURNING - No of Returning Frs before previous campaign,,7122
GB-RETURNING - No of Active Fundraisers,,4413
GB-RETURNING - APAM (Active),812048.76 / 4413 = ,184.01
GB-RETURNING - Total Funds,,812048.76
GB-RETURNING - Active Ratio,4413 / 7122 = ,0.6196
GB-TOTAL INDIVIDUALS - Total Number of Fundraisers,,56073
GB-TOTAL INDIVIDUALS - Total Active Fundraisers,,34982
GB-TOTAL INDIVIDUALS - Total Funds Raised,,5546235.48
GB-TEAM - No of Teams,,2294
GB-TEAM - ATDD,251085.17 / 2294 = ,109.45
GB-TEAM - Total Funds,,251085.17
GB-TOTAL PEER 2 PEER - Total Number of Fundraisers,,56073
GB-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,34982
GB-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,2294
GB-TOTAL PEER 2 PEER - Total Number of Active Entities,,37276
GB-TOTAL PEER 2 PEER - Total Funds Raised,,6506696.38
US-FOUNDATION & RG - No of Donations,,7649
US-FOUNDATION & RG - ADA,1328647.01 / 7649 = ,173.7
US-FOUNDATION & RG - Total Funds,,1328647.01
US-NEW - No of New Fundraisers (previous campaign),,44534
US-NEW - No of Active Fundraisers,,22261
US-NEW - APAM (Active),22261 / 4423764.71 = ,198.72
US-NEW - Total Funds,,4423764.71
US-NEW - Active Ratio,22261 / 44534 = ,0.4999
US-RETAINED - No of Fundraisers (previous campaign),,67683
US-RETAINED - Total Retained from Previous into Current,,15828
US-RETAINED - No of Active Fundraisers,,12418
US-RETAINED - APAM (Active),6582502.85 / 12418 = ,530.08
US-RETAINED - Total Funds,,6582502.85
US-RETAINED - Retained Ratio,15828 / 67683 = ,0.2339
US-RETAINED - Active Ratio,12418 / 15828 = ,0.7846
US-RETAINED - Total No of Fundraisers (current campaign),,68255
US-RETURNING - No of Returning Frs before previous campaign,,7893
US-RETURNING - No of Active Fundraisers,,3953
US-RETURNING - APAM (Active),1183998.94 / 3953 = ,299.52
US-RETURNING - Total Funds,,1183998.94
US-RETURNING - Active Ratio,3953 / 7893 = ,0.5008
US-TOTAL INDIVIDUALS - Total Number of Fundraisers,,68255
US-TOTAL INDIVIDUALS - Total Active Fundraisers,,38632
US-TOTAL INDIVIDUALS - Total Funds Raised,,12190266.5
US-TEAM - No of Teams,,2423
US-TEAM - ATDD,1174719.65 / 2423 = ,484.82
US-TEAM - Total Funds,,1174719.65
US-TOTAL PEER 2 PEER - Total Number of Fundraisers,,68255
US-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,38632
US-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,2423
US-TOTAL PEER 2 PEER - Total Number of Active Entities,,41055
US-TOTAL PEER 2 PEER - Total Funds Raised,,14693633.16
IE-FOUNDATION & RG - No of Donations,,1636
IE-FOUNDATION & RG - ADA,94512.08 / 1636 = ,57.77
IE-FOUNDATION & RG - Total Funds,,94512.08
IE-NEW - No of New Fundraisers (previous campaign),,4729
IE-NEW - No of Active Fundraisers,,2527
IE-NEW - APAM (Active),2527 / 729723.41 = ,288.77
IE-NEW - Total Funds,,729723.41
IE-NEW - Active Ratio,2527 / 4729 = ,0.5344
IE-RETAINED - No of Fundraisers (previous campaign),,4173
IE-RETAINED - Total Retained from Previous into Current,,710
IE-RETAINED - No of Active Fundraisers,,512
IE-RETAINED - APAM (Active),170579.3 / 512 = ,333.16
IE-RETAINED - Total Funds,,170579.3
IE-RETAINED - Retained Ratio,710 / 4173 = ,0.1701
IE-RETAINED - Active Ratio,512 / 710 = ,0.7211
IE-RETAINED - Total No of Fundraisers (current campaign),,6115
IE-RETURNING - No of Returning Frs before previous campaign,,676
IE-RETURNING - No of Active Fundraisers,,387
IE-RETURNING - APAM (Active),132178.24 / 387 = ,341.55
IE-RETURNING - Total Funds,,132178.24
IE-RETURNING - Active Ratio,387 / 676 = ,0.5725
IE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,6115
IE-TOTAL INDIVIDUALS - Total Active Fundraisers,,3426
IE-TOTAL INDIVIDUALS - Total Funds Raised,,1032480.95
IE-TEAM - No of Teams,,329
IE-TEAM - ATDD,199651.44 / 329 = ,606.84
IE-TEAM - Total Funds,,199651.44
IE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,6115
IE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,3426
IE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,329
IE-TOTAL PEER 2 PEER - Total Number of Active Entities,,3755
IE-TOTAL PEER 2 PEER - Total Funds Raised,,1326644.47
NZ-FOUNDATION & RG - No of Donations,,452
NZ-FOUNDATION & RG - ADA,69090.32 / 452 = ,152.85
NZ-FOUNDATION & RG - Total Funds,,69090.32
NZ-NEW - No of New Fundraisers (previous campaign),,8687
NZ-NEW - No of Active Fundraisers,,5147
NZ-NEW - APAM (Active),5147 / 1128622.09 = ,219.28
NZ-NEW - Total Funds,,1128622.09
NZ-NEW - Active Ratio,5147 / 8687 = ,0.5925
NZ-RETAINED - No of Fundraisers (previous campaign),,8607
NZ-RETAINED - Total Retained from Previous into Current,,1680
NZ-RETAINED - No of Active Fundraisers,,1168
NZ-RETAINED - APAM (Active),376191.47 / 1168 = ,322.08
NZ-RETAINED - Total Funds,,376191.47
NZ-RETAINED - Retained Ratio,1680 / 8607 = ,0.1952
NZ-RETAINED - Active Ratio,1168 / 1680 = ,0.6952
NZ-RETAINED - Total No of Fundraisers (current campaign),,11548
NZ-RETURNING - No of Returning Frs before previous campaign,,1181
NZ-RETURNING - No of Active Fundraisers,,774
NZ-RETURNING - APAM (Active),200450.92 / 774 = ,258.98
NZ-RETURNING - Total Funds,,200450.92
NZ-RETURNING - Active Ratio,774 / 1181 = ,0.6554
NZ-TOTAL INDIVIDUALS - Total Number of Fundraisers,,11548
NZ-TOTAL INDIVIDUALS - Total Active Fundraisers,,7089
NZ-TOTAL INDIVIDUALS - Total Funds Raised,,1705264.48
NZ-TEAM - No of Teams,,827
NZ-TEAM - ATDD,314535.65 / 827 = ,380.33
NZ-TEAM - Total Funds,,314535.65
NZ-TOTAL PEER 2 PEER - Total Number of Fundraisers,,11548
NZ-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,7089
NZ-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,827
NZ-TOTAL PEER 2 PEER - Total Number of Active Entities,,7916
NZ-TOTAL PEER 2 PEER - Total Funds Raised,,2088890.45
AT-FOUNDATION & RG - No of Donations,,181
AT-FOUNDATION & RG - ADA,15984.26 / 181 = ,88.31
AT-FOUNDATION & RG - Total Funds,,15984.26
AT-NEW - No of New Fundraisers (previous campaign),,694
AT-NEW - No of Active Fundraisers,,199
AT-NEW - APAM (Active),199 / 12398.74 = ,62.31
AT-NEW - Total Funds,,12398.74
AT-NEW - Active Ratio,199 / 694 = ,0.2867
AT-RETAINED - No of Fundraisers (previous campaign),,1116
AT-RETAINED - Total Retained from Previous into Current,,307
AT-RETAINED - No of Active Fundraisers,,162
AT-RETAINED - APAM (Active),19393.31 / 162 = ,119.71
AT-RETAINED - Total Funds,,19393.31
AT-RETAINED - Retained Ratio,307 / 1116 = ,0.2751
AT-RETAINED - Active Ratio,162 / 307 = ,0.5277
AT-RETAINED - Total No of Fundraisers (current campaign),,1109
AT-RETURNING - No of Returning Frs before previous campaign,,108
AT-RETURNING - No of Active Fundraisers,,20
AT-RETURNING - APAM (Active),1497.52 / 20 = ,74.88
AT-RETURNING - Total Funds,,1497.52
AT-RETURNING - Active Ratio,20 / 108 = ,0.1852
AT-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1109
AT-TOTAL INDIVIDUALS - Total Active Fundraisers,,381
AT-TOTAL INDIVIDUALS - Total Funds Raised,,33289.57
AT-TEAM - No of Teams,,61
AT-TEAM - ATDD,15082.96 / 61 = ,247.26
AT-TEAM - Total Funds,,15082.96
AT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1109
AT-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,381
AT-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,61
AT-TOTAL PEER 2 PEER - Total Number of Active Entities,,442
AT-TOTAL PEER 2 PEER - Total Funds Raised,,64406.79
BE-FOUNDATION & RG - No of Donations,,73
BE-FOUNDATION & RG - ADA,9723.36 / 73 = ,133.2
BE-FOUNDATION & RG - Total Funds,,9723.36
BE-NEW - No of New Fundraisers (previous campaign),,858
BE-NEW - No of Active Fundraisers,,217
BE-NEW - APAM (Active),217 / 26926.21 = ,124.08
BE-NEW - Total Funds,,26926.21
BE-NEW - Active Ratio,217 / 858 = ,0.2529
BE-RETAINED - No of Fundraisers (previous campaign),,1215
BE-RETAINED - Total Retained from Previous into Current,,213
BE-RETAINED - No of Active Fundraisers,,108
BE-RETAINED - APAM (Active),24977.53 / 108 = ,231.27
BE-RETAINED - Total Funds,,24977.53
BE-RETAINED - Retained Ratio,213 / 1215 = ,0.1753
BE-RETAINED - Active Ratio,108 / 213 = ,0.507
BE-RETAINED - Total No of Fundraisers (current campaign),,1186
BE-RETURNING - No of Returning Frs before previous campaign,,115
BE-RETURNING - No of Active Fundraisers,,35
BE-RETURNING - APAM (Active),4640.47 / 35 = ,132.58
BE-RETURNING - Total Funds,,4640.47
BE-RETURNING - Active Ratio,35 / 115 = ,0.3043
BE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,1186
BE-TOTAL INDIVIDUALS - Total Active Fundraisers,,360
BE-TOTAL INDIVIDUALS - Total Funds Raised,,56544.21
BE-TEAM - No of Teams,,48
BE-TEAM - ATDD,18959.79 / 48 = ,395.0
BE-TEAM - Total Funds,,18959.79
BE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,1186
BE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,360
BE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,48
BE-TOTAL PEER 2 PEER - Total Number of Active Entities,,408
BE-TOTAL PEER 2 PEER - Total Funds Raised,,85227.36
CZ-FOUNDATION & RG - No of Donations,,431
CZ-FOUNDATION & RG - ADA,289898.11 / 431 = ,672.62
CZ-FOUNDATION & RG - Total Funds,,289898.11
CZ-NEW - No of New Fundraisers (previous campaign),,2087
CZ-NEW - No of Active Fundraisers,,586
CZ-NEW - APAM (Active),586 / 712261.79 = ,1215.46
CZ-NEW - Total Funds,,712261.79
CZ-NEW - Active Ratio,586 / 2087 = ,0.2808
CZ-RETAINED - No of Fundraisers (previous campaign),,4650
CZ-RETAINED - Total Retained from Previous into Current,,1292
CZ-RETAINED - No of Active Fundraisers,,624
CZ-RETAINED - APAM (Active),1355556.26 / 624 = ,2172.37
CZ-RETAINED - Total Funds,,1355556.26
CZ-RETAINED - Retained Ratio,1292 / 4650 = ,0.2778
CZ-RETAINED - Active Ratio,624 / 1292 = ,0.483
CZ-RETAINED - Total No of Fundraisers (current campaign),,3861
CZ-RETURNING - No of Returning Frs before previous campaign,,482
CZ-RETURNING - No of Active Fundraisers,,129
CZ-RETURNING - APAM (Active),187527.38 / 129 = ,1453.7
CZ-RETURNING - Total Funds,,187527.38
CZ-RETURNING - Active Ratio,129 / 482 = ,0.2676
CZ-TOTAL INDIVIDUALS - Total Number of Fundraisers,,3861
CZ-TOTAL INDIVIDUALS - Total Active Fundraisers,,1339
CZ-TOTAL INDIVIDUALS - Total Funds Raised,,2255345.43
CZ-TEAM - No of Teams,,201
CZ-TEAM - ATDD,1314530.86 / 201 = ,6539.95
CZ-TEAM - Total Funds,,1314530.86
CZ-TOTAL PEER 2 PEER - Total Number of Fundraisers,,3861
CZ-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1339
CZ-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,201
CZ-TOTAL PEER 2 PEER - Total Number of Active Entities,,1540
CZ-TOTAL PEER 2 PEER - Total Funds Raised,,3859774.4
DK-FOUNDATION & RG - No of Donations,,73
DK-FOUNDATION & RG - ADA,48406.53 / 73 = ,663.1
DK-FOUNDATION & RG - Total Funds,,48406.53
DK-NEW - No of New Fundraisers (previous campaign),,615
DK-NEW - No of Active Fundraisers,,152
DK-NEW - APAM (Active),152 / 108486.35 = ,713.73
DK-NEW - Total Funds,,108486.35
DK-NEW - Active Ratio,152 / 615 = ,0.2472
DK-RETAINED - No of Fundraisers (previous campaign),,1092
DK-RETAINED - Total Retained from Previous into Current,,139
DK-RETAINED - No of Active Fundraisers,,88
DK-RETAINED - APAM (Active),173866.79 / 88 = ,1975.76
DK-RETAINED - Total Funds,,173866.79
DK-RETAINED - Retained Ratio,139 / 1092 = ,0.1273
DK-RETAINED - Active Ratio,88 / 139 = ,0.6331
DK-RETAINED - Total No of Fundraisers (current campaign),,930
DK-RETURNING - No of Returning Frs before previous campaign,,176
DK-RETURNING - No of Active Fundraisers,,60
DK-RETURNING - APAM (Active),38632.65 / 60 = ,643.88
DK-RETURNING - Total Funds,,38632.65
DK-RETURNING - Active Ratio,60 / 176 = ,0.3409
DK-TOTAL INDIVIDUALS - Total Number of Fundraisers,,930
DK-TOTAL INDIVIDUALS - Total Active Fundraisers,,300
DK-TOTAL INDIVIDUALS - Total Funds Raised,,320985.79
DK-TEAM - No of Teams,,38
DK-TEAM - ATDD,51516.0 / 38 = ,1355.68
DK-TEAM - Total Funds,,51516.0
DK-TOTAL PEER 2 PEER - Total Number of Fundraisers,,930
DK-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,300
DK-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,38
DK-TOTAL PEER 2 PEER - Total Number of Active Entities,,338
DK-TOTAL PEER 2 PEER - Total Funds Raised,,420908.32
FI-FOUNDATION & RG - No of Donations,,0
FI-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
FI-FOUNDATION & RG - Total Funds,,0.0
FI-NEW - No of New Fundraisers (previous campaign),,0
FI-NEW - No of Active Fundraisers,,0
FI-NEW - APAM (Active),0 / 0.0 = ,0.0
FI-NEW - Total Funds,,0.0
FI-NEW - Active Ratio,0 / 0 = ,0.0
FI-RETAINED - No of Fundraisers (previous campaign),,0
FI-RETAINED - Total Retained from Previous into Current,,0
FI-RETAINED - No of Active Fundraisers,,0
FI-RETAINED - APAM (Active),0.0 / 0 = ,0.0
FI-RETAINED - Total Funds,,0.0
FI-RETAINED - Retained Ratio,0 / 0 = ,0.0
FI-RETAINED - Active Ratio,0 / 0 = ,0.0
FI-RETAINED - Total No of Fundraisers (current campaign),,20
FI-RETURNING - No of Returning Frs before previous campaign,,20
FI-RETURNING - No of Active Fundraisers,,0
FI-RETURNING - APAM (Active),0.0 / 0 = ,0.0
FI-RETURNING - Total Funds,,0.0
FI-RETURNING - Active Ratio,0 / 20 = ,0.0
FI-TOTAL INDIVIDUALS - Total Number of Fundraisers,,20
FI-TOTAL INDIVIDUALS - Total Active Fundraisers,,0
FI-TOTAL INDIVIDUALS - Total Funds Raised,,0.0
FI-TEAM - No of Teams,,0
FI-TEAM - ATDD,0.0 / 0 = ,0.0
FI-TEAM - Total Funds,,0.0
FI-TOTAL PEER 2 PEER - Total Number of Fundraisers,,20
FI-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,0
FI-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,0
FI-TOTAL PEER 2 PEER - Total Number of Active Entities,,0
FI-TOTAL PEER 2 PEER - Total Funds Raised,,0.0
FR-FOUNDATION & RG - No of Donations,,792
FR-FOUNDATION & RG - ADA,87845.72 / 792 = ,110.92
FR-FOUNDATION & RG - Total Funds,,87845.72
FR-NEW - No of New Fundraisers (previous campaign),,5718
FR-NEW - No of Active Fundraisers,,1513
FR-NEW - APAM (Active),1513 / 85655.66 = ,56.61
FR-NEW - Total Funds,,85655.66
FR-NEW - Active Ratio,1513 / 5718 = ,0.2646
FR-RETAINED - No of Fundraisers (previous campaign),,9332
FR-RETAINED - Total Retained from Previous into Current,,1589
FR-RETAINED - No of Active Fundraisers,,870
FR-RETAINED - APAM (Active),144959.29 / 870 = ,166.62
FR-RETAINED - Total Funds,,144959.29
FR-RETAINED - Retained Ratio,1589 / 9332 = ,0.1703
FR-RETAINED - Active Ratio,870 / 1589 = ,0.5475
FR-RETAINED - Total No of Fundraisers (current campaign),,8155
FR-RETURNING - No of Returning Frs before previous campaign,,848
FR-RETURNING - No of Active Fundraisers,,288
FR-RETURNING - APAM (Active),23555.28 / 288 = ,81.79
FR-RETURNING - Total Funds,,23555.28
FR-RETURNING - Active Ratio,288 / 848 = ,0.3396
FR-TOTAL INDIVIDUALS - Total Number of Fundraisers,,8155
FR-TOTAL INDIVIDUALS - Total Active Fundraisers,,2671
FR-TOTAL INDIVIDUALS - Total Funds Raised,,254170.23
FR-TEAM - No of Teams,,293
FR-TEAM - ATDD,92478.07 / 293 = ,315.62
FR-TEAM - Total Funds,,92478.07
FR-TOTAL PEER 2 PEER - Total Number of Fundraisers,,8155
FR-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,2671
FR-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,293
FR-TOTAL PEER 2 PEER - Total Number of Active Entities,,2964
FR-TOTAL PEER 2 PEER - Total Funds Raised,,434494.02
DE-FOUNDATION & RG - No of Donations,,793
DE-FOUNDATION & RG - ADA,57645.89 / 793 = ,72.69
DE-FOUNDATION & RG - Total Funds,,57645.89
DE-NEW - No of New Fundraisers (previous campaign),,4206
DE-NEW - No of Active Fundraisers,,1918
DE-NEW - APAM (Active),1918 / 150156.47 = ,78.29
DE-NEW - Total Funds,,150156.47
DE-NEW - Active Ratio,1918 / 4206 = ,0.456
DE-RETAINED - No of Fundraisers (previous campaign),,5734
DE-RETAINED - Total Retained from Previous into Current,,1404
DE-RETAINED - No of Active Fundraisers,,950
DE-RETAINED - APAM (Active),191984.49 / 950 = ,202.09
DE-RETAINED - Total Funds,,191984.49
DE-RETAINED - Retained Ratio,1404 / 5734 = ,0.2449
DE-RETAINED - Active Ratio,950 / 1404 = ,0.6766
DE-RETAINED - Total No of Fundraisers (current campaign),,6159
DE-RETURNING - No of Returning Frs before previous campaign,,549
DE-RETURNING - No of Active Fundraisers,,270
DE-RETURNING - APAM (Active),32294.81 / 270 = ,119.61
DE-RETURNING - Total Funds,,32294.81
DE-RETURNING - Active Ratio,270 / 549 = ,0.4918
DE-TOTAL INDIVIDUALS - Total Number of Fundraisers,,6159
DE-TOTAL INDIVIDUALS - Total Active Fundraisers,,3138
DE-TOTAL INDIVIDUALS - Total Funds Raised,,374435.77
DE-TEAM - No of Teams,,299
DE-TEAM - ATDD,99925.55 / 299 = ,334.2
DE-TEAM - Total Funds,,99925.55
DE-TOTAL PEER 2 PEER - Total Number of Fundraisers,,6159
DE-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,3138
DE-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,299
DE-TOTAL PEER 2 PEER - Total Number of Active Entities,,3437
DE-TOTAL PEER 2 PEER - Total Funds Raised,,532007.21
IT-FOUNDATION & RG - No of Donations,,0
IT-FOUNDATION & RG - ADA,0.0 / 0 = ,0.0
IT-FOUNDATION & RG - Total Funds,,0.0
IT-NEW - No of New Fundraisers (previous campaign),,0
IT-NEW - No of Active Fundraisers,,0
IT-NEW - APAM (Active),0 / 0.0 = ,0.0
IT-NEW - Total Funds,,0.0
IT-NEW - Active Ratio,0 / 0 = ,0.0
IT-RETAINED - No of Fundraisers (previous campaign),,0
IT-RETAINED - Total Retained from Previous into Current,,0
IT-RETAINED - No of Active Fundraisers,,0
IT-RETAINED - APAM (Active),0.0 / 0 = ,0.0
IT-RETAINED - Total Funds,,0.0
IT-RETAINED - Retained Ratio,0 / 0 = ,0.0
IT-RETAINED - Active Ratio,0 / 0 = ,0.0
IT-RETAINED - Total No of Fundraisers (current campaign),,0
IT-RETURNING - No of Returning Frs before previous campaign,,0
IT-RETURNING - No of Active Fundraisers,,0
IT-RETURNING - APAM (Active),0.0 / 0 = ,0.0
IT-RETURNING - Total Funds,,0.0
IT-RETURNING - Active Ratio,0 / 0 = ,0.0
IT-TOTAL INDIVIDUALS - Total Number of Fundraisers,,0
IT-TOTAL INDIVIDUALS - Total Active Fundraisers,,0
IT-TOTAL INDIVIDUALS - Total Funds Raised,,0.0
IT-TEAM - No of Teams,,0
IT-TEAM - ATDD,0.0 / 0 = ,0.0
IT-TEAM - Total Funds,,0.0
IT-TOTAL PEER 2 PEER - Total Number of Fundraisers,,0
IT-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,0
IT-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,0
IT-TOTAL PEER 2 PEER - Total Number of Active Entities,,0
IT-TOTAL PEER 2 PEER - Total Funds Raised,,0.0
NL-FOUNDATION & RG - No of Donations,,252
NL-FOUNDATION & RG - ADA,28321.25 / 252 = ,112.39
NL-FOUNDATION & RG - Total Funds,,28321.25
NL-NEW - No of New Fundraisers (previous campaign),,1519
NL-NEW - No of Active Fundraisers,,743
NL-NEW - APAM (Active),743 / 100572.55 = ,135.36
NL-NEW - Total Funds,,100572.55
NL-NEW - Active Ratio,743 / 1519 = ,0.4891
NL-RETAINED - No of Fundraisers (previous campaign),,2597
NL-RETAINED - Total Retained from Previous into Current,,364
NL-RETAINED - No of Active Fundraisers,,250
NL-RETAINED - APAM (Active),60740.81 / 250 = ,242.96
NL-RETAINED - Total Funds,,60740.81
NL-RETAINED - Retained Ratio,364 / 2597 = ,0.1402
NL-RETAINED - Active Ratio,250 / 364 = ,0.6868
NL-RETAINED - Total No of Fundraisers (current campaign),,2057
NL-RETURNING - No of Returning Frs before previous campaign,,174
NL-RETURNING - No of Active Fundraisers,,82
NL-RETURNING - APAM (Active),16107.18 / 82 = ,196.43
NL-RETURNING - Total Funds,,16107.18
NL-RETURNING - Active Ratio,82 / 174 = ,0.4713
NL-TOTAL INDIVIDUALS - Total Number of Fundraisers,,2057
NL-TOTAL INDIVIDUALS - Total Active Fundraisers,,1075
NL-TOTAL INDIVIDUALS - Total Funds Raised,,177420.54
NL-TEAM - No of Teams,,108
NL-TEAM - ATDD,47372.26 / 108 = ,438.63
NL-TEAM - Total Funds,,47372.26
NL-TOTAL PEER 2 PEER - Total Number of Fundraisers,,2057
NL-TOTAL PEER 2 PEER - Total Number of Active Fundraisers,,1075
NL-TOTAL PEER 2 PEER - Total Number of Teams with Direct Donations,,108
NL-TOTAL PEER 2 PEER - Total Number of Active Entities,,1183
NL-TOTAL PEER 2 PEER - Total Funds Raised,,253064.05
NO-FOUNDATION & RG - No of Donations,,215
NO-FOUNDATION & RG - ADA,251733.33 / 215 = ,1170.85
NO-FOUNDATION & RG - Total Funds,,251733.33
NO-NEW - No of New Fundraisers (previous campaign),,1225
NO-NEW - No of Active Fundraisers,,495
NO-NEW - APAM (Active),495 / 518092.59 = ,1046.65
NO-NEW - Total Funds,,518092.59
NO-NEW - Active Ratio,495 / 1225 = ,0.4041
NO-RETAINED - No of Fundraisers (previous campaign),,3276
NO-RETAINED - Total Retained from Previous into Current,,553
NO-RETAINED - No of Active Fundraisers,,298
NO-RETAINED - APAM (Active),761914.88 / 298 = ,2556.76
NO-RETAINED - Total Funds,,761914.88
